Concurso 	Concurso 	Cidade 	UF
1	1		BA
	1		PR
	1		SP
2	2		SP
3	3		SP
4	4		MT
5	5		BA
	5		MS
6	6		RJ
	6		RS
7	7		BA
	7		DF
	7		GO
	7		MG
	7		RJ
	7		RS
	7		SP
8	8		BA
9	9		PR
	9		SP
10	10		
11	11		
12	12		GO
13	13		PR
	13		RJ
	13		SP
14	14		RS
	14		SP
15	15		DF
	15		ES
	15		GO
	15		MG
	15		MT
	15		PE
	15		PR
	15		RJ
	15		SP
16	16		AL
	16		DF
	16		MG
	16		PR
	16		RO
	16		RS
	16		SP
17	17		SP
18	18		MT
	18		RJ
	18		TO
19	19		GO
	19		MG
	19		MT
	19		PA
	19		PI
	19		RJ
	19		SP
20	20		BA
	20		MA
	20		MG
	20		MS
	20		PA
	20		PE
	20		PR
	20		SP
21	21		BA
	21		GO
	21		RJ
22	22		BA
23	23		SE
24	24		RJ
	24		RO
25	25		
26	26		PE
	26		SP
27	27		DF
	27		SP
28	28		GO
	28		MT
29	29		CE
	29		MG
	29		RJ
	29		RS
	29		SP
30	30		MG
	30		SP
31	31		DF
	31		ES
	31		SP
32	32		BA
	32		SP
33	33		BA
	33		ES
	33		GO
	33		MA
	33		PR
	33		RJ
	33		SE
	33		SP
34	34		
35	35		RS
36	36		BA
	36		DF
	36		PE
	36		PR
	36		RS
	36		SP
37	37		MT
38	38		
39	39		RJ
	39		SP
40	40		BA
	40		DF
	40		MG
	40		RS
	40		SC
	40		SP
41	41		DF
	41		RS
	41		SP
42	42		SP
43	43		MS
44	44		
45	45		MG
	45		PA
	45		SP
46	46		DF
	46		SP
47	47		BA
	47		MT
	47		PA
	47		PE
	47		PR
	47		RJ
	47		SE
	47		SP
48	48		DF
	48		GO
49	49		
50	50		SP
51	51		GO
	51		SP
52	52		MA
	52		SC
	52		SP
53	53		AM
	53		RJ
	53		SP
54	54		BA
	54		ES
	54		GO
	54		MG
	54		MS
	54		MT
	54		PA
	54		PR
	54		RJ
	54		RO
	54		RS
	54		SP
55	55		MA
	55		RS
	55		SP
56	56		
57	57		MG
58	58		DF
	58		MG
	58		PR
	58		RJ
	58		SP
59	59		MG
	59		SP
60	60		MG
	60		PR
	60		SP
61	61		ES
	61		TO
62	62		GO
	62		MT
	62		PR
	62		SP
63	63		GO
	63		RJ
64	64		PA
	64		RO
	64		SP
65	65		
66	66		BA
	66		CE
	66		MG
	66		PR
	66		SP
67	67		DF
	67		PR
	67		SP
	67		TO
68	68		RS
	68		SP
69	69		DF
	69		RS
	69		SC
	69		SP
70	70		MG
	70		PE
	70		PR
	70		RS
	70		SP
71	71		GO
	71		PE
	71		RS
	71		SP
72	72		RS
	72		SP
73	73		PA
	73		PR
	73		SC
74	74		MS
	74		MT
	74		PR
	74		SP
75	75		RJ
	75		SC
76	76		BA
	76		MG
	76		PE
	76		RJ
	76		RS
	76		SE
	76		SP
77	77		MG
	77		PR
	77		SP
78	78		PA
79	79		DF
80	80		RN
81	81		BA
	81		PA
	81		PI
	81		RJ
	81		SP
82	82		BA
	82		MA
	82		PR
	82		SP
83	83		BA
	83		MS
	83		SP
84	84		RS
	84		SP
85	85		BA
	85		MG
	85		MT
	85		PR
	85		RJ
	85		SP
86	86		AM
	86		CE
	86		DF
	86		MG
	86		PA
	86		SP
87	87		DF
	87		MG
	87		PA
	87		PR
	87		SP
88	88		DF
	88		RJ
	88		SC
	88		SE
	88		SP
89	89		RO
	89		SP
90	90		MG
	90		RJ
	90		SP
91	91		AP
	91		SP
92	92		MG
	92		SC
	92		SP
93	93		PE
	93		SP
	93		TO
94	94		RJ
	94		SP
95	95		BA
	95		DF
96	96		MT
97	97		BA
	97		MG
	97		SP
98	98		MG
	98		RJ
	98		TO
99	99		ES
	99		MG
	99		RS
	99		SE
100	100		BA
	100		SE
	100		SP
101	101		AM
	101		BA
	101		DF
	101		PR
	101		RN
	101		RS
	101		SC
	101		SP
102	102		BA
	102		PR
	102		RS
	102		SP
103	103		MS
	103		RJ
	103		SP
104	104		GO
	104		SP
105	105		PE
	105		RJ
106	106		RJ
	106		SP
107	107		SP
108	108		AM
	108		MG
	108		RJ
	108		RS
	108		SP
109	109		BA
	109		CE
	109		DF
	109		MG
	109		RJ
	109		RN
	109		SC
	109		SP
110	110		PE
	110		SP
111	111		MG
112	112		SP
113	113		SP
114	114		
115	115		MG
116	116		SP
117	117		SP
118	118		BA
	118		MG
	118		SP
119	119		SP
120	120		PR
	120		SP
121	121		PI
	121		SC
	121		SP
122	122		DF
	122		MG
	122		PA
	122		RJ
	122		SP
123	123		BA
	123		GO
	123		SP
124	124		SP
125	125		GO
	125		SP
126	126		
127	127		BA
	127		GO
	127		PR
	127		SC
	127		SP
128	128		AM
	128		SP
129	129		CE
	129		MA
	129		RJ
130	130		MG
	130		SC
	130		SP
131	131		MG
132	132		CE
	132		DF
	132		MG
	132		PR
	132		RJ
	132		RS
	132		SP
133	133		MS
	133		SC
	133		SE
	133		SP
134	134		GO
	134		SP
135	135		ES
	135		GO
	135		RJ
	135		SP
136	136		SC
	136		SP
137	137		MG
	137		SP
138	138		RS
	138		SP
139	139		RN
140	140		MS
	140		PR
	140		SP
141	141		MG
	141		RJ
142	142		DF
143	143		BA
	143		GO
	143		MG
	143		SP
144	144		AL
	144		BA
	144		DF
	144		ES
	144		GO
	144		MA
	144		MG
	144		MS
	144		PA
	144		PR
	144		RJ
	144		RS
	144		SC
	144		SE
	144		SP
145	145		BA
	145		ES
	145		GO
146	146		BA
	146		GO
	146		MG
	146		RJ
	146		SP
147	147		DF
	147		PE
	147		SP
148	148		AL
	148		BA
	148		DF
	148		GO
	148		MG
	148		MS
	148		PA
	148		PI
	148		PR
	148		RJ
	148		SC
	148		SE
	148		SP
149	149		RJ
	149		SP
150	150		SP
151	151		MG
	151		MT
	151		RJ
	151		SE
152	152		SP
153	153		AC
	153		BA
	153		GO
	153		PR
	153		SC
	153		SP
154	154		RS
155	155		
156	156		MA
	156		MG
	156		MS
	156		PB
	156		PR
	156		RS
157	157		AM
	157		DF
	157		GO
	157		MG
	157		MS
	157		RS
	157		SC
	157		SP
158	158		PR
	158		RJ
159	159		RS
	159		SP
160	160		MA
	160		MG
	160		PR
161	161		
162	162		PR
	162		RJ
	162		SP
163	163		DF
	163		MG
	163		SP
164	164		BA
165	165		MG
	165		SE
166	166		BA
	166		CE
	166		ES
	166		GO
	166		MG
	166		MS
	166		PE
	166		PI
	166		PR
	166		RJ
	166		RN
	166		RS
	166		SC
	166		SE
	166		SP
167	167		MT
	167		PR
168	168		RJ
169	169		
170	170		RN
171	171		BA
	171		GO
	171		SP
172	172		RS
173	173		
174	174		ES
	174		GO
	174		MT
	174		PR
	174		RJ
	174		SP
175	175		GO
	175		RJ
176	176		ES
177	177		GO
	177		RS
178	178		GO
179	179		DF
	179		GO
	179		SP
180	180		AP
	180		BA
	180		DF
	180		GO
	180		MG
	180		MT
	180		RJ
	180		RS
	180		SP
181	181		SE
	181		SP
182	182		GO
	182		MA
	182		MG
	182		MS
	182		RJ
	182		RS
	182		SP
183	183		GO
	183		RJ
	183		SP
184	184		BA
	184		DF
	184		SC
185	185		MG
	185		PB
	185		SP
186	186		PR
	186		SE
187	187		MA
	187		SP
188	188		DF
	188		GO
	188		MG
	188		SP
189	189		DF
	189		SE
190	190		SC
	190		SP
191	191		SP
192	192		DF
	192		MG
	192		PE
193	193		BA
	193		SP
194	194		RJ
195	195		BA
	195		MG
	195		MT
	195		SC
	195		SP
196	196		SC
197	197		MG
	197		PI
	197		SP
198	198		GO
	198		MG
	198		PI
199	199		PR
200	200		BA
	200		RS
201	201		MA
	201		MG
	201		RS
	201		SP
202	202		
203	203		BA
	203		CE
	203		ES
	203		MG
	203		PE
	203		RN
	203		SC
	203		SE
	203		SP
204	204		DF
	204		SP
205	205		SP
206	206		PR
	206		RJ
207	207		SP
208	208		MG
	208		SP
209	209		CE
	209		DF
	209		MG
210	210		MG
	210		SP
211	211		BA
	211		GO
	211		MG
	211		PR
	211		RJ
	211		RS
	211		SP
212	212		BA
	212		SE
	212		SP
213	213		
214	214		RN
	214		SP
215	215		MG
	215		PE
	215		RN
	215		SP
216	216		DF
	216		MG
	216		SP
217	217		BA
	217		DF
218	218		MG
219	219		ES
220	220		
221	221		SE
	221		SP
222	222		AP
223	223		
224	224		MG
	224		PE
225	225		BA
	225		PR
	225		RN
226	226		MG
227	227		PI
	227		SC
	227		SP
228	228		BA
	228		DF
	228		PI
	228		RJ
	228		SP
229	229		SP
230	230		MG
231	231		RS
232	232		SC
233	233		BA
	233		GO
	233		MG
	233		SC
	233		SE
	233		SP
234	234		SP
235	235		AM
	235		SC
	235		SP
236	236		
237	237		MG
	237		PR
	237		SE
	237		SP
238	238		RJ
239	239		CE
	239		MG
	239		SP
240	240		PR
241	241		BA
	241		CE
	241		GO
	241		RS
242	242		GO
	242		MG
243	243		
244	244		AM
	244		MS
	244		PR
	244		SC
245	245		SP
246	246		BA
	246		MG
247	247		SC
248	248		MG
	248		RJ
	248		SP
249	249		PA
	249		RJ
	249		RR
	249		SP
250	250		MG
251	251		DF
	251		MG
	251		SP
252	252		DF
253	253		PR
	253		RS
	253		SE
254	254		BA
	254		CE
	254		SP
255	255		SP
256	256		DF
	256		RJ
	256		RS
	256		SP
257	257		AM
	257		SP
258	258		CE
	258		MG
	258		PI
	258		SP
259	259		
260	260		MS
